FUND TYPE	FUND CODE	DEPARTMENT CODE	ORGANIZATION CODE	DIVISION CODE	SECTION CODE	SUBSECTION CODE	SCHEDULE	TITLE CODE	TITLE DESCRIPTION	FUND NAME	DEPARTMENT	DEPARTMENT NAME	DIVISION NAME	SECTION NAME	SUBSECTION NAME	BUDGETED UNIT	TOTAL BUDGETED UNITS	POSITION CONTROL	BUDGETED PAY RATE	TOTAL BUDGETED AMOUNT
Local	100	30	1005	2005	3015	"4,100"	1	15	Schedule Salary Adjustments	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Building Hearings Division	Annual	0	0	1930	1930
Local	100	30	1005	2005	3015	"4,100"	B	302	Administrative Assistant II	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Building Hearings Division	Annual	1	1	50952	50952
Local	100	30	1005	2005	3015	"4,100"	B	302	Administrative Assistant II	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Building Hearings Division	Annual	1	1	53340	53340
Local	100	30	1005	2005	3015	"4,100"	BX	308	Staff Assistant	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Building Hearings Division	Annual	1	1	64152	64152
Local	100	30	1005	2005	3015	"4,100"	B	430	Clerk III	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Building Hearings Division	Annual	1	1	42264	42264
Local	100	30	1005	2005	3015	"4,100"	B	665	Senior Data Entry Operator	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Building Hearings Division	Annual	1	1	55872	55872
Local	100	30	1005	2005	3015	"4,100"	3	1660	Senior Administrative Law Officer	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Building Hearings Division	Annual	1	1	89364	89364
Local	100	30	1005	2005	3015	"4,200"	B	302	Administrative Assistant II	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Consumer Affairs Hearings Division	Annual	1	1	55872	55872
Local	100	30	1005	2005	3015	"4,200"	B	430	Clerk III	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Consumer Affairs Hearings Division	Annual	1	1	44280	44280
Local	100	30	1005	2005	3015	"4,200"	B	432	Supervising Clerk	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Consumer Affairs Hearings Division	Annual	1	1	64248	64248
Local	100	30	1005	2005	3015	"4,300"	B	302	Administrative Assistant II	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Environmental Safety Hearings Division	Annual	1	1	53340	53340
Local	100	30	1005	2005	3015	"4,300"	B	302	Administrative Assistant II	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Environmental Safety Hearings Division	Annual	1	1	55872	55872
Local	100	30	1005	2005	3015	"4,300"	B	303	Administrative Assistant III	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Environmental Safety Hearings Division	Annual	1	1	67296	67296
Local	100	30	1005	2005	3015	"4,300"	BX	308	Staff Assistant	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Environmental Safety Hearings Division	Annual	1	1	73752	73752
Local	100	30	1005	2005	3015	"4,300"	3	1660	Senior Administrative Law Officer	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Environmental Safety Hearings Division	Annual	1	1	89364	89364
Local	100	30	1005	2005	3015	"4,400"	1	15	Schedule Salary Adjustments	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Municipal Hearings Division	Annual	0	0	2474	2474
Local	100	30	1005	2005	3015	"4,400"	B	302	Administrative Assistant II	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Municipal Hearings Division	Annual	1	1	36432	36432
Local	100	30	1005	2005	3015	"4,400"	B	302	Administrative Assistant II	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Municipal Hearings Division	Annual	1	1	48576	48576
Local	100	30	1005	2005	3015	"4,400"	B	302	Administrative Assistant II	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Municipal Hearings Division	Annual	1	1	50952	50952
Local	100	30	1005	2005	3015	"4,400"	BX	308	Staff Assistant	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Municipal Hearings Division	Annual	1	1	70380	70380
Local	100	30	1005	2005	3015	"4,400"	B	432	Supervising Clerk	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Municipal Hearings Division	Annual	1	1	58548	58548
Local	100	30	1005	2005	3015	"4,400"	3	1660	Senior Administrative Law Officer	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Municipal Hearings Division	Annual	1	1	89364	89364
Local	100	30	1005	2005	3015	"4,500"	1	15	Schedule Salary Adjustments	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Vehicle Hearings Division	Annual	0	0	1433	1433
Local	100	30	1005	2005	3015	"4,500"	3	123	Fiscal Administrator	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Vehicle Hearings Division	Annual	1	1	111996	111996
Local	100	30	1005	2005	3015	"4,500"	B	302	Administrative Assistant II	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Vehicle Hearings Division	Annual	3	1	48576	145728
Local	100	30	1005	2005	3015	"4,500"	B	302	Administrative Assistant II	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Vehicle Hearings Division	Annual	1	1	61308	61308
Local	100	30	1005	2005	3015	"4,500"	3	1660	Senior Administrative Law Officer	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Vehicle Hearings Division	Annual	1	1	89364	89364
Local	100	30	1005	2005	3015	"4,500"	1	9844	Senior Hearing Officer	CORPORATE FUND	DAH	DEPT OF ADMINISTRATIVE HEARING	Department of Administrative Hearings	Operational Services	Vehicle Hearings Division	Annual	1	1	63516	63516
Local	100	31	1005	2005	3006	"4,005"	3	705	Director Public Affairs	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Corporation Counsel's Office	Annual	1	1	116904	116904
Local	100	31	1005	2005	3006	"4,005"	BX	1623	Paralegal II - Labor	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Corporation Counsel's Office	Annual	1	1	54492	54492
Local	100	31	1005	2005	3006	"4,005"	1	1644	Administrative Assistant of Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Corporation Counsel's Office	Annual	1	1	87696	87696
Local	100	31	1005	2005	3006	"4,005"	1	1644	Administrative Assistant of Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Corporation Counsel's Office	Annual	1	1	109116	109116
Local	100	31	1005	2005	3006	"4,005"	1	1657	First Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Corporation Counsel's Office	Annual	1	1	149160	149160
Local	100	31	1005	2005	3006	"4,005"	1	9931	Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Corporation Counsel's Office	Annual	1	1	173664	173664
Local	100	31	1005	2005	3006	"4,010"	1	15	Schedule Salary Adjustments	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Administrative Services	Annual	0	0	2979	2979
Local	100	31	1005	2005	3006	"4,010"	BX	164	Supervising Timekeeper	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Administrative Services	Annual	1	1	45240	45240
Local	100	31	1005	2005	3006	"4,010"	B	190	Accounting Technician II	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Administrative Services	Annual	1	1	64248	64248
Local	100	31	1005	2005	3006	"4,010"	BX	308	Staff Assistant	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Administrative Services	Annual	1	1	57648	57648
Local	100	31	1005	2005	3006	"4,010"	3	361	Director of Personnel Policies and Utilization	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Administrative Services	Annual	1	1	101700	101700
Local	100	31	1005	2005	3006	"4,010"	BX	378	Administrative Supervisor	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Administrative Services	Annual	1	1	70380	70380
Local	100	31	1005	2005	3006	"4,010"	3	379	Director of Administration	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Administrative Services	Annual	1	1	92100	92100
Local	100	31	1005	2005	3006	"4,010"	B	429	Clerk II	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Administrative Services	Annual	1	1	42264	42264
Local	100	31	1005	2005	3006	"4,010"	3	601	Director of Information Systems	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Administrative Services	Annual	1	1	100428	100428
Local	100	31	1005	2005	3006	"4,010"	G	638	Programmer/Analyst	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Administrative Services	Annual	1	1	80808	80808
Local	100	31	1005	2005	3006	"4,010"	BX	1158	Chief Methods Analyst	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Administrative Services	Annual	1	1	67224	67224
Local	100	31	1005	2005	3006	"4,010"	BX	1302	Administrative Services Officer II	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Administrative Services	Annual	1	1	77280	77280
Local	100	31	1005	2005	3006	"4,010"	L	1642	Assistant Corporation Counsel - Hourly	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Administrative Services	Hourly	"17,000"	0	35	595000
Local	100	31	1005	2005	3006	"4,010"	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Administrative Services	Annual	0	0	65196	0
Local	100	31	1005	2005	3006	"4,010"	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Administrative Services	Annual	0	0	95052	0
Local	100	31	1005	2005	3006	"4,010"	3	1655	Special Litigation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Administrative Services	Annual	0	0	129972	0
Local	100	31	1005	2005	3006	"4,010"	3	1661	Dir of Professional Development - Law	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Administrative Services	Annual	1	1	137076	137076
Local	100	31	1005	2005	3006	"4,010"	1	1669	Law Library Technical Assistant	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Administrative Services	Annual	1	1	43020	43020
Local	100	31	1005	2005	3006	"4,010"	1	1677	Chief Law Librarian	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Administrative Services	Annual	1	1	97416	97416
Local	100	31	1005	2005	3006	"4,010"	3	1695	Administrative Deputy	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Administration	Administrative Services	Annual	1	1	137076	137076
Local	100	31	1005	2005	3007	0	1	15	Schedule Salary Adjustments	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Appeals		Annual	0	0	1845	1845
Local	100	31	1005	2005	3007	0	B	1617	Paralegal II	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Appeals		Annual	1	1	64248	64248
Local	100	31	1005	2005	3007	0	L	1641	Assistant Corporation Counsel Supervisor - Senior	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Appeals		Annual	1	1	121752	121752
Local	100	31	1005	2005	3007	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Appeals		Annual	1	1	65196	65196
Local	100	31	1005	2005	3007	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Appeals		Annual	1	1	66960	66960
Local	100	31	1005	2005	3007	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Appeals		Annual	1	1	73608	73608
Local	100	31	1005	2005	3007	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Appeals		Annual	1	1	75312	75312
Local	100	31	1005	2005	3007	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Appeals		Annual	1	1	78744	78744
Local	100	31	1005	2005	3007	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Appeals		Annual	1	1	92676	92676
Local	100	31	1005	2005	3007	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Appeals		Annual	1	1	93840	93840
Local	100	31	1005	2005	3007	0	1	1650	Deputy Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Appeals		Annual	1	1	137076	137076
Local	100	31	1005	2005	3007	0	1	1652	Chief Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Appeals		Annual	1	1	124572	124572
Local	100	31	1005	2005	3007	0	1	1689	Administrative Assistant to Deputy Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Appeals		Annual	1	1	86400	86400
Local	100	31	1005	2005	3011	0	1	15	Schedule Salary Adjustments	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	0	0	4931	4931
Local	100	31	1005	2005	3011	0	B	302	Administrative Assistant II	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	1	1	48576	48576
Local	100	31	1005	2005	3011	0	BX	437	Supervising Clerk - Excluded	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	2	1	67224	134448
Local	100	31	1005	2005	3011	0	4	440	Reader	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Hourly	"2,000"	0	13	25640
Local	100	31	1005	2005	3011	0	B	863	Legal Secretary	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	1	1	73848	73848
Local	100	31	1005	2005	3011	0	B	875	Senior Legal Personal Computer Operator	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	1	1	55872	55872
Local	100	31	1005	2005	3011	0	B	875	Senior Legal Personal Computer Operator	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	1	1	61308	61308
Local	100	31	1005	2005	3011	0	B	1617	Paralegal II	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	1	1	61308	61308
Local	100	31	1005	2005	3011	0	B	1617	Paralegal II	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	4	1	64248	256992
Local	100	31	1005	2005	3011	0	B	1617	Paralegal II	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	1	1	77292	77292
Local	100	31	1005	2005	3011	0	BX	1619	Supervising Paralegal	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	1	1	77280	77280
Local	100	31	1005	2005	3011	0	4	1631	Law Clerk	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Hourly	"30,000"	0	14	414600
Local	100	31	1005	2005	3011	0	L	1641	Assistant Corporation Counsel Supervisor - Senior	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	1	1	84864	84864
Local	100	31	1005	2005	3011	0	L	1641	Assistant Corporation Counsel Supervisor - Senior	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	2	1	93840	187680
Local	100	31	1005	2005	3011	0	L	1641	Assistant Corporation Counsel Supervisor - Senior	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	1	1	97488	97488
Local	100	31	1005	2005	3011	0	L	1641	Assistant Corporation Counsel Supervisor - Senior	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	1	1	107748	107748
Local	100	31	1005	2005	3011	0	L	1641	Assistant Corporation Counsel Supervisor - Senior	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	1	1	114720	114720
Local	100	31	1005	2005	3011	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	1	1	57192	57192
Local	100	31	1005	2005	3011	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	5	1	58716	293580
Local	100	31	1005	2005	3011	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	2	1	60324	120648
Local	100	31	1005	2005	3011	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	2	1	61980	123960
Local	100	31	1005	2005	3011	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	1	1	63720	63720
Local	100	31	1005	2005	3011	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	1	1	68832	68832
Local	100	31	1005	2005	3011	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	1	1	71976	71976
Local	100	31	1005	2005	3011	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	1	1	89472	89472
Local	100	31	1005	2005	3011	0	1	1650	Deputy Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	1	1	137076	137076
Local	100	31	1005	2005	3011	0	1	1652	Chief Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	2	1	124572	249144
Local	100	31	1005	2005	3011	0	1	1689	Administrative Assistant to Deputy Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Building and License Enforcement		Annual	1	1	67368	67368
Local	100	31	1005	2005	3014	0	1	15	Schedule Salary Adjustments	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Constitutional and Commercial Litigation		Annual	0	0	948	948
Local	100	31	1005	2005	3014	0	B	863	Legal Secretary	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Constitutional and Commercial Litigation		Annual	1	1	67296	67296
Local	100	31	1005	2005	3014	0	B	1617	Paralegal II	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Constitutional and Commercial Litigation		Annual	1	1	61308	61308
Local	100	31	1005	2005	3014	0	BX	1619	Supervising Paralegal	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Constitutional and Commercial Litigation		Annual	1	1	80916	80916
Local	100	31	1005	2005	3014	0	L	1641	Assistant Corporation Counsel Supervisor - Senior	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Constitutional and Commercial Litigation		Annual	3	1	121752	365256
Local	100	31	1005	2005	3014	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Constitutional and Commercial Litigation		Annual	1	1	65196	65196
Local	100	31	1005	2005	3014	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Constitutional and Commercial Litigation		Annual	1	1	84864	84864
Local	100	31	1005	2005	3014	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Constitutional and Commercial Litigation		Annual	1	1	91068	91068
Local	100	31	1005	2005	3014	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Constitutional and Commercial Litigation		Annual	1	1	98712	98712
Local	100	31	1005	2005	3014	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Constitutional and Commercial Litigation		Annual	1	1	99948	99948
Local	100	31	1005	2005	3014	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Constitutional and Commercial Litigation		Annual	1	1	101208	101208
Local	100	31	1005	2005	3014	0	L	1643	Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Constitutional and Commercial Litigation		Annual	1	1	102492	102492
Local	100	31	1005	2005	3014	0	1	1650	Deputy Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Constitutional and Commercial Litigation		Annual	1	1	137076	137076
Local	100	31	1005	2005	3014	0	1	1652	Chief Assistant Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Constitutional and Commercial Litigation		Annual	1	1	124572	124572
Local	100	31	1005	2005	3014	0	1	1689	Administrative Assistant to Deputy Corporation Counsel	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Constitutional and Commercial Litigation		Annual	1	1	63084	63084
Local	100	31	1005	2005	3019	"4,001"	1	15	Schedule Salary Adjustments	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Torts	Corporate Torts	Annual	0	0	5396	5396
Local	100	31	1005	2005	3019	"4,001"	B	302	Administrative Assistant II	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Torts	Corporate Torts	Annual	1	1	41856	41856
Local	100	31	1005	2005	3019	"4,001"	B	429	Clerk II	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Torts	Corporate Torts	Annual	1	1	46428	46428
Local	100	31	1005	2005	3019	"4,001"	B	863	Legal Secretary	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Torts	Corporate Torts	Annual	1	1	61308	61308
Local	100	31	1005	2005	3019	"4,001"	B	875	Senior Legal Personal Computer Operator	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Torts	Corporate Torts	Annual	1	1	53340	53340
Local	100	31	1005	2005	3019	"4,001"	B	875	Senior Legal Personal Computer Operator	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Torts	Corporate Torts	Annual	1	1	55872	55872
Local	100	31	1005	2005	3019	"4,001"	B	1617	Paralegal II	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Torts	Corporate Torts	Annual	2	1	57948	115896
Local	100	31	1005	2005	3019	"4,001"	B	1617	Paralegal II	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Torts	Corporate Torts	Annual	2	1	67296	134592
Local	100	31	1005	2005	3019	"4,001"	BX	1619	Supervising Paralegal	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Torts	Corporate Torts	Annual	1	1	88812	88812
Local	100	31	1005	2005	3019	"4,001"	L	1641	Assistant Corporation Counsel Supervisor - Senior	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Torts	Corporate Torts	Annual	2	1	91068	182136
Local	100	31	1005	2005	3019	"4,001"	L	1641	Assistant Corporation Counsel Supervisor - Senior	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Torts	Corporate Torts	Annual	1	1	97488	97488
Local	100	31	1005	2005	3019	"4,001"	L	1641	Assistant Corporation Counsel Supervisor - Senior	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Torts	Corporate Torts	Annual	1	1	98712	98712
Local	100	31	1005	2005	3019	"4,001"	L	1641	Assistant Corporation Counsel Supervisor - Senior	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Torts	Corporate Torts	Annual	1	1	99948	99948
Local	100	31	1005	2005	3019	"4,001"	L	1641	Assistant Corporation Counsel Supervisor - Senior	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Torts	Corporate Torts	Annual	1	1	103788	103788
Local	100	31	1005	2005	3019	"4,001"	L	1641	Assistant Corporation Counsel Supervisor - Senior	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Torts	Corporate Torts	Annual	2	1	105084	210168
Local	100	31	1005	2005	3019	"4,001"	L	1641	Assistant Corporation Counsel Supervisor - Senior	CORPORATE FUND	DEPARTMENT OF LAW	DEPARTMENT OF LAW	Department of Law	Torts	Corporate Torts	Annual	1	1	106416	106416
